Words;M V;SD V;N V;M A;SD A;N A;M P;SD  P;N P;M AoA;SD AoA;N AoA;Freq(Log10);Freq (1E6);Length;N (%);Grammatical category
beschaamd;2,56;0,77;64;3,7;1,38;64;3,05;1,37;64;7,71;2,45;32;0,67;4,71;9;0;A
beschadigd;2,42;0,79;64;4,05;1,3;64;3,31;1,41;64;7,29;2,38;32;1,08;12,03;10;0;A
bescheiden;5,05;0,82;64;2,84;0,89;64;3,52;1,31;64;8,48;2,55;32;0,98;9,65;10;0;A
beschermen;5,55;0,78;64;5,02;1,09;64;4,97;1,46;64;6,26;2;32;1,99;97,71;10;0;V
bescherming;5,59;0,73;64;4,45;1,18;64;4,94;1,21;64;6,74;2,27;32;1,44;27,62;11;0;N
beschuit;4,44;0,81;64;3,06;1,18;64;3,17;1,2;64;5,55;2,01;32;-0,44;0,37;8;0;N
beslissend;4,78;0,93;64;4,95;1,24;63;5,28;0,88;64;8,32;2,06;32;-0,07;0,85;10;0,4;A
besluiteloos;2,59;0,58;64;3,39;1,44;64;2,52;1,35;64;9,06;2,41;32;-0,46;0,34;12;0;A
besmet;2,11;0,67;64;4,19;1,4;64;3,91;1,67;64;7,65;2,27;32;1,08;11,94;6;0;A
besmeurd;2,66;0,62;64;3,95;1,21;64;3,52;1,21;64;8,19;2,09;32;0,01;1,03;8;0;A
bestendig;5;0,71;64;3,89;1,21;64;4,84;1,22;63;9,65;3,14;32;-0,86;0,14;9;0,4;A
bestrijden;3,89;1,3;64;5,57;0,82;63;5,25;1,17;64;8,39;2,36;32;0,93;8,6;10;0,4;V
betamelijk;4,42;0,71;55;3,49;1,09;55;3,93;1,13;54;10,29;3,13;24;-0,86;0,14;10;15,7;A
beter;5,42;0,73;64;4,17;1,25;64;4,86;1,11;64;4,74;1,29;32;2,84;690,59;5;0;A
beton;3,77;0,64;64;2,7;1,35;63;5,28;1,42;64;6,74;1,95;32;0,64;4,34;5;0,4;N
betrouwbaar;6,22;0,83;64;3,91;1,12;64;5,02;1,41;64;8,03;2,3;32;0,95;8,85;11;0;A
beu;2,73;0,74;64;3,57;1,29;63;3,82;1,34;62;7;2,08;32;1,16;14,41;3;1,3;A
beugel;3,2;0,74;64;3,34;1,12;64;3,89;1,13;64;7,84;1,75;32;0,54;3,48;6;0;N
beuk;3,81;0,85;64;4,02;1,47;64;4,55;1,25;64;6,87;2,06;32;0,29;1,94;4;0;N
beuken;3,19;0,83;64;5,31;1,1;64;5;1,12;63;8,16;2,5;32;0,01;1,03;6;0,4;V
beul;2,03;0,78;64;5,17;1,04;63;5,52;1,39;64;8,23;2,83;32;0,65;4,5;4;0,4;N
beurs;4,41;1,02;64;4,03;1,45;64;4,17;0,97;64;9,32;3,1;32;1,16;14,43;5;0;N
beurt;4,2;0,84;64;4,06;1,26;64;4,03;1,07;64;5,42;1,73;32;1,62;41,89;5;0;N
bevel;2,94;0,77;64;4,97;1,14;63;5,46;1,38;63;7;2,32;32;1,81;65,06;5;0,9;N
beven;2,81;0,66;64;4,7;1,18;64;3;1,25;64;6,68;2,06;32;0,55;3,52;5;0;V
bevooroordeeld;2,45;0,83;64;4;1,21;64;3,66;1,59;64;10,32;2,64;32;0,26;1,81;14;0;A
bevreesd;2,59;0,61;64;4,84;1,26;63;3,52;1,62;64;8,4;3,15;31;-0,07;0,85;8;0,9;A
bevriend;5,8;0,72;64;4,22;1,09;64;4,86;1,02;64;6,68;2,18;32;1,2;15,71;8;0;A
bevrijd;5,83;0,95;64;4,77;1,23;64;4,84;1,31;64;7,19;2,41;32;1,17;14,8;7;0;A
beweeglijk;5,06;0,75;64;5,59;0,9;64;4,72;1,05;64;8,29;2,7;32;-0,41;0,39;10;0;A
bewonderenswaardig;5,98;0,79;64;4,72;1,21;64;5,33;1,14;64;9,55;2,58;32;0,26;1,81;18;0;A
bewondering;5,73;0,84;64;4,84;1,14;64;4,8;1,38;64;8,32;2,37;32;0,6;3,96;11;0;N
bezem;3,7;0,55;64;3,59;1,33;64;3,55;1,08;64;5,61;1,75;32;0,58;3,8;5;0;N
bezig;4,56;0,92;64;4,91;1,22;64;4,25;0,94;64;5,58;1,54;32;2,29;196,41;5;0;A
bezitter;3,94;1,04;64;3,95;1,15;64;5,2;1,06;64;8,65;2,58;32;-0,28;0,53;8;0;N
bezorgd;3,66;1,25;64;4,78;1;64;3,66;1,22;64;7,03;1,92;32;1,71;50,77;7;0;A
bezorgdheid;3,97;1,32;64;4,63;1,19;64;3,66;1,26;64;8,26;2,37;32;0,73;5,4;11;0;N
bezwaar;2,98;0,75;64;4,48;1,08;64;4,52;1,14;64;8,65;2,67;32;1,32;20,76;7;0;N
bidden;4,05;1,1;64;3;1,47;64;3,53;1,44;64;5,39;1,33;32;1,57;36,82;6;0;V
biecht;3,38;0,95;64;3,8;1,57;64;3,38;1,35;64;8,23;2,67;32;0,76;5,76;6;0;N
bieden;4,55;0,78;64;4,56;1,02;64;4,13;0,95;64;7,16;2,21;32;1,52;32,82;6;0;V
bier;4,53;1,19;64;4,05;1,31;64;4,45;1,15;64;6,55;2,43;32;1,73;53,35;4;0;N
biet;4,05;0,74;64;3,19;1,22;64;3,56;1,15;64;6,87;2,53;32;-0,12;0,75;4;0;N
big;4,33;0,89;64;3,91;1,28;64;3,52;1,47;64;5,71;2,85;32;1,28;18,93;3;0;N
bijbel;3,77;1,15;64;2,75;1,26;64;4,42;1,51;64;5,71;1,66;32;1,36;23,05;6;0;N
bijl;3,02;0,86;64;4,58;1,34;64;5,28;1,06;64;6,23;1,87;32;0,97;9,26;4;0;N
bijster;3,59;0,94;61;3,9;1,12;63;3,92;1,09;62;10,48;3,15;30;0,15;1,42;7;3,6;A
bijten;3;0,91;64;5,45;0,75;64;4,81;1,19;64;4,48;1,5;32;1,2;15,96;6;0;V
bijtend;2,55;0,8;64;5,31;0,94;64;5,09;1,09;64;7,13;2,81;32;-0,39;0,41;7;0;A
bikkelhard;3,53;1,26;64;5,19;1,19;64;5,67;1,16;64;8,97;2,48;32;-0,44;0,37;10;0;A
bil;4,31;0,87;64;3,81;1,32;63;4,02;1,05;64;4,81;1,38;32;0,64;4,34;3;0,4;N
biljart;4,61;0,92;64;3,89;1,32;64;3,92;1,03;64;8;2;32;0,16;1,44;7;0;N
billijk;4,85;1,01;53;3,65;1,08;55;4,16;1,22;50;10,67;3,55;25;-0,26;0,55;7;18,4;A
binden;4,02;0,95;64;4,53;1,05;64;4,38;1,3;64;6,58;2,31;32;0,95;8,99;6;0;V
bips;4,48;0,85;64;3,61;1,06;64;3,73;1,1;64;5,55;2,86;32;-0,05;0,89;4;0;N
bitter;2,8;0,78;64;3,89;1,29;64;4,67;1,33;64;7,26;2,37;32;0,64;4,32;6;0;A
bivakmuts;2,81;1,02;64;4,41;1,53;64;4,44;1,24;63;8,52;2,17;32;-0,44;0,37;9;0,4;N
bizar;3,59;0,92;64;4,63;1,2;64;4,41;1,15;64;8,68;2,36;32;0,93;8,48;5;0;A
blaam;2,77;0,69;62;3,81;1,21;59;3,92;1,3;53;9,75;2,73;29;0,12;1,3;5;9,4;N
blaar;2,56;0,77;64;3,89;1,36;63;3,45;1,3;64;7,35;2,46;32;-0,64;0,23;5;0,4;N
blaas;3,61;0,61;64;4,08;1,03;64;3,5;1,05;64;7,13;2,25;32;1,22;16,56;5;0;N
blad;4,23;0,61;64;3,06;1,23;63;3,52;1,07;64;4,77;1,54;32;1,05;11,14;4;0,4;N
bladzijde;4,22;0,63;64;3,05;1,1;64;3,56;0,94;64;5,16;1,46;32;0,63;4,25;9;0;N
blaffen;3,27;1;64;5,38;0,81;64;4,7;1,26;64;5;2,44;32;0,56;3,61;7;0;V
blank;4,25;0,73;64;3,48;1,02;64;3,95;0,74;64;6,42;1,78;32;1,23;16,81;5;0;A
blaten;3,63;0,9;57;4,41;1,19;63;3,3;1,06;56;7,36;3,13;29;-0,69;0,21;6;8,5;V
blauw;4,45;0,8;64;3,38;1,3;64;4;1,01;64;3,84;1,49;32;1,52;32,91;5;0;A
blazen;3,89;0,69;64;4,78;0,97;64;3,83;1,02;64;4,45;1,69;32;1,25;17,65;6;0;V
bleek;3,02;0,75;64;2,88;1,13;64;3;1,2;64;6,19;1,99;32;1,38;24,17;5;0;A
blij;6,25;0,89;64;5,36;1,12;64;4,95;0,88;64;3,71;1,35;32;2,44;277,3;4;0;A
blijdschap;6,33;0,64;64;5,28;1,13;64;5;1,13;64;6,97;2,95;32;0,5;3,16;10;0;N
blijheid;6,23;0,87;64;5,38;1,06;64;4,84;1,22;64;6,35;2,24;32;-0,28;0,53;8;0;N
blijk;4,33;0,6;63;3,65;1,08;63;4,06;0,8;63;8,77;3,33;31;0,66;4,6;5;1,8;N
blijken;4,23;0,53;64;4,05;0,96;63;3,95;0,94;63;7,48;2,68;32;0,81;6,45;7;0,9;V
blijven;4,72;0,84;64;3,33;1,05;64;4,06;1,04;64;4,74;1,57;32;2,71;517,57;7;0;V
blijvend;4,66;0,91;64;3,28;1,28;64;4,78;1,13;64;7,87;2,14;32;0,45;2,84;8;0;A
blik;4,16;0,54;64;3,89;1,18;64;4,22;1,05;64;5,87;2,13;32;1,56;36,27;4;0;N
bliksem;3,34;1,06;64;6,05;0,93;64;5,69;1,1;64;5,45;1,77;32;1,03;10,63;7;0;N
blind;2,2;0,88;64;3,11;1,33;63;3,31;1,53;64;5,87;1,31;32;1,55;35,61;5;0,4;A
blinken;5,19;0,77;64;4,45;1,15;64;4,36;1,09;64;6,97;2,48;32;-0,05;0,89;7;0;V
bloed;2,83;0,88;64;4,41;1,3;63;4,42;1,35;64;4,32;1,6;32;2,27;185,32;5;0,4;N
bloedarm;2,27;0,83;63;3,13;1,24;61;2,86;1,51;64;10,62;2,96;30;-1,64;0,02;8;2,7;A
bloedbad;1,36;0,57;64;6,03;1,26;64;5,28;1,86;64;9,45;2,53;32;0,83;6,72;8;0;N
bloeden;2,56;0,83;64;4,97;1,13;64;3,91;1,49;64;4,81;1,56;32;1,09;12,37;7;0;V
bloei;5,41;0,87;64;4,32;1,23;63;4,31;1,21;64;6,68;2,34;32;0,36;2,29;5;0,4;N
bloeien;5,42;0,97;64;4,61;1,15;64;4,61;1,08;64;6,48;2,41;32;0,39;2,45;7;0;V
bloem;5,31;0,92;64;3,19;1,25;64;3,53;1,07;64;3,81;1,33;32;1,13;13,49;5;0;N
bloesem;5,34;0,93;64;3,23;1,24;64;3,64;1,3;64;7,23;2,51;32;-0,18;0,66;7;0;N
blok;3,66;0,76;64;3,44;1,55;64;4,22;1,08;64;4,84;2,63;32;1,07;11,62;4;0;N
blokken;3,52;0,78;64;4,63;1,47;64;4,33;1,02;64;5,23;3,25;32;0,79;6,22;7;0;V
blond;4,78;1,09;64;3,88;1,3;64;3,89;1,04;64;4,9;1,49;32;1,08;12,03;5;0;A
bloot;4,5;1,02;64;4,34;1,66;64;4,13;1,35;64;5,16;1,98;32;0,91;8,21;5;0;A
blos;4,68;0,86;59;3,92;1,16;61;3,58;1,24;57;7,86;2,91;29;-0,49;0,32;4;7,6;N
blouse;4,52;0,69;64;3,28;1,34;64;3,58;0,99;64;7,06;2,61;32;0,57;3,68;6;0;N
blozen;4,3;1,09;64;4,41;1,29;64;3,16;1,14;64;6,52;2,1;32;0,28;1,9;6;0;V
blubber;3,06;0,81;64;3,41;1,22;64;3,22;1,23;64;6,39;2,68;32;-0,26;0,55;7;0;N
bluf;3,56;0,99;64;4,52;1,18;64;4,2;1,35;64;9,13;3,13;32;0,51;3,27;4;0;N
blunder;2,63;0,81;64;4,92;1,06;64;3,09;1,35;64;8,06;2,61;32;0,44;2,77;7;0;N
blussen;4,3;1,14;64;5,34;1,01;64;4,41;1,19;64;6,23;1,93;32;0,4;2,52;7;0;V
blut;2,11;0,8;64;3,34;1,42;64;2,98;1,47;64;7,94;2,39;32;1,1;12,51;4;0;A
boa;3,84;1,03;64;4,24;1,4;62;4,76;1,36;62;9;2,75;30;-0,49;0,32;3;2,7;N
bobbel;3,02;0,85;64;3,67;1,2;63;4;1,07;64;5,9;2,2;32;-0,02;0,96;6;0,4;N
bochel;2,48;0,78;63;3,18;1,25;61;3,18;1,13;60;7,79;2,33;29;0,17;1,46;6;4,9;N
bocht;4,02;0,45;64;4,08;1,26;64;3,83;1,13;64;5,77;2,22;32;0,92;8,37;5;0;N
bod;4,31;0,73;64;4,13;1,05;64;4,3;0,83;64;8,13;2,55;32;1,03;10,61;3;0;N
bodem;3,64;0,8;64;2,81;1,15;64;3,56;1,17;64;6,16;2,02;32;1,18;15,3;5;0;N
boeddha;4,46;0,95;63;2,59;1,2;64;4,72;1,58;64;9,81;1,94;32;0,59;3,91;7;0;N
boef;2,47;1,07;64;5,19;1,19;64;4,58;1,4;64;4,65;1,58;32;0,79;6,2;4;0;N
boeg;4,06;0,43;64;3,45;1,08;64;4,03;0,78;64;8,03;2,64;32;0,76;5,69;4;0;N
boei;3,91;0,83;64;3,59;1,23;64;4,23;1,22;64;6,39;2,33;32;0,35;2,26;4;0;N
boeien;4,11;1,32;64;4,77;1,05;64;4,72;1,02;64;7,29;2,21;32;1,06;11,55;6;0;V
boek;4,89;0,96;64;3,11;1,24;64;4,02;1,13;64;3,94;1,57;32;2,18;150,93;4;0;N
boeket;5,27;0,91;64;3,22;1,28;64;3,72;0,95;64;6,9;2,53;32;0,31;2,06;6;0;N
boel;3,53;0,78;64;4,06;1,22;64;4,2;0,98;64;6;2,21;32;1,72;52,37;4;0;N
boeman;2,4;0,81;63;4,89;1,25;63;4,75;1,43;63;8;3,25;32;0,64;4,32;6;1,3;N
boer;3,88;0,92;64;4,51;1,24;63;4,02;1,09;64;5,03;2,12;32;1,17;14,77;4;0,4;N
boers;3,14;0,96;64;3,87;1,13;61;3,9;1,3;61;7,55;2,74;31;-0,86;0,14;5;2,7;A
boete;2,3;0,83;64;4,55;1,32;64;4,72;1,23;64;6,74;1,61;32;0,95;8,83;5;0;N
boeten;2,48;0,91;64;4,73;1,06;64;4,28;1,52;64;7,23;2,49;32;1,28;19,19;6;0;V
boezem;4,95;0,74;64;4,33;1,24;63;4,42;1,02;64;9,45;2,51;32;0,42;2,65;6;0,4;N
bof;3,6;1,33;63;3,56;1,13;62;3,87;1,07;61;7,75;3,12;29;0,6;3,98;3;4;N
boffen;5,55;0,75;64;4,49;1,11;63;4,11;1,11;64;7,61;2,6;32;0,56;3,66;6;0,4;V
bok;3,98;0,63;64;4,36;1,24;64;4,51;1,12;63;5,87;2;32;0,34;2,17;3;0,4;N
bokaal;4,36;0,82;61;3,41;1,25;63;3,72;1,13;57;7,61;3,15;29;-0,64;0,23;6;6,3;N
boksen;3,47;1,17;64;6,03;0,89;64;5,39;1,24;64;6,13;1,75;32;1,06;11,53;6;0;V
bokser;3,67;0,76;64;5,81;1,16;63;5,53;1,05;64;6,39;2,08;32;0,81;6,45;6;0,4;N
bol;4,03;0,69;64;3,53;1,19;64;3,83;0,97;64;5;1,95;32;0,99;9,81;3;0;N
bolleboos;4,86;1,01;64;4,31;1,23;64;4,46;1,13;61;8,68;2,69;32;-0,02;0,96;9;1,3;N
bom;2,08;1,03;64;6,22;1,09;64;5,78;1,35;64;6,06;1,79;32;1,71;51,32;3;0;N
bon;3,88;1,29;64;3,48;1,22;64;3,78;1,04;63;6,29;1,99;32;1,01;10,34;3;0,4;N
bond;4,11;0,83;63;3,84;1,14;64;4,22;1,09;64;8,77;2,77;32;1,13;13,47;4;0,4;N
bonk;3,35;0,7;63;4,48;1,27;63;4,48;1,13;64;6,9;3,11;31;-0,24;0,57;4;1,3;N
bonken;3,19;0,75;64;5,22;0,88;64;5,03;0,89;64;6,68;2,75;32;-0,06;0,87;6;0;V
bons;3,03;0,83;62;4,55;1,19;64;4,32;1,13;63;8;2,75;30;0,5;3,13;4;1,8;N
bont;3,09;1,26;64;3,7;1,54;64;3,72;1,45;64;7,58;2,46;32;0,63;4,3;4;0;N
boodschap;4,48;0,64;64;4,05;1,16;64;4,17;0,88;64;5,87;1,96;32;1,76;58,2;9;0;N
boog;4,14;0,59;64;3,97;1,24;63;4,19;1,07;64;5,9;1,66;32;0,93;8,55;4;0,4;N
boom;4,78;0,93;64;2,97;1,09;63;4,45;1,4;64;3,65;1,2;32;1,72;52,25;4;0,4;N
boon;4,19;0,69;64;3,23;1,16;64;3,38;1,11;64;5,71;1,7;32;0,15;1,42;4;0;N
boor;3,66;0,57;64;4,55;1,31;64;4,67;1,14;64;6,52;1,86;32;0,54;3,45;4;0;N
boord;4,03;0,47;64;3,42;1,18;64;3,98;0,81;64;7,06;2,14;32;1,78;59,85;5;0;N
boos;2,38;0,75;64;5,67;0,78;64;5,16;1,14;64;3,9;1,11;32;2,02;105,79;4;0;A
boosaardig;1,98;0,85;64;5,17;1,03;64;4,88;1,43;64;7,94;2,24;32;0,22;1,65;10;0;A
boosheid;2,31;0,83;64;5,55;1,08;64;5,16;1,14;64;6,71;2,51;32;0,45;2,84;8;0;N
boot;4,7;0,83;64;3,88;1,18;64;4,36;0,93;64;4,32;1,42;32;1,98;95,93;4;0;N
bord;4,08;0,57;64;3,19;1,22;64;3,84;1,24;64;4,19;1,33;32;1,44;27,3;4;0;N
bordeel;2,72;0,97;64;5,09;1,41;64;3,75;1,47;63;11,1;3,03;31;0,78;6,04;7;0,9;N
boren;3,55;0,78;64;5,14;1,01;64;4,8;0,91;64;6,61;2,14;32;0,73;5,37;5;0;V
borg;3,53;0,89;64;3,44;1,05;64;3,89;1,06;63;9,84;3,13;32;1,05;11,23;4;0,4;N
borrel;4,53;0,99;64;4,03;1,33;64;4,25;1,11;64;9,23;2,49;32;1,31;20,22;6;0;N
borst;4,61;0,83;64;3,98;1,23;64;4,27;0,98;64;5,58;1,89;32;1,43;26,64;5;0;N
borstel;4,09;0,39;64;3,41;1,21;63;3,7;1,05;64;5,16;1,46;32;0,32;2,1;7;0,4;N
bos;4,78;0,92;64;3,33;1,44;64;4,09;1,11;64;4,52;1,75;32;1,67;46,51;3;0;N
bot;2,98;0,79;64;3,31;1,1;64;4,53;1,1;64;6;1,71;32;1,16;14,52;3;0;N
boter;4,09;0,85;64;3,09;1,29;64;3,13;1,16;64;4,55;1,48;32;1,02;10,52;5;0;N
botsen;2,69;0,81;64;5,44;1,28;64;4,7;1,02;64;5,35;1,87;32;0,36;2,29;6;0;V
bouillon;4,5;0,84;64;3,09;1,14;64;3,55;1,05;64;8,55;2,77;32;0,11;1,28;8;0;N
bout;3,81;0,66;64;3,25;1,22;63;4,3;1,17;63;7,74;2,66;32;-0,03;0,94;4;0,9;N
bouw;4,34;0,62;64;4,64;1,23;64;4,52;1,08;64;5,52;1,71;32;1,09;12,33;4;0;N
bouwen;4,78;0,92;64;5,38;1,02;64;4,67;0,93;64;4,97;1,7;32;1,65;44,2;6;0;V
bouwvallig;2,7;0,79;64;3,05;1,26;63;2,94;1,4;63;9,19;3,12;31;-0,94;0,11;10;0,9;A
box;4,09;0,61;64;3,28;1,19;64;3,88;1,12;64;7,35;2,43;32;0,64;4,39;3;0;N
boycot;2,55;0,83;64;4,8;1,13;64;5,05;1,37;64;11,1;2,36;32;-0,1;0,8;6;0;N
braaf;4,94;1,14;64;3,06;1,07;64;3,34;1,36;64;4,23;1,67;32;1,3;20,1;5;0;A
braden;4,38;0,93;64;4,42;1,12;64;4,22;1,11;64;7,35;2,58;32;0,18;1,51;6;0;V
braken;2,16;0,8;64;5,16;1,06;64;3,7;1,36;64;6,42;2,01;32;0,61;4,12;6;0;V
brancard;2,89;0,96;64;3,84;1,66;63;4,08;1,3;64;8,71;2,6;32;0,54;3,48;8;0,4;N
branche;4,09;0,5;64;3,83;1,11;63;4,14;0,92;64;11,06;2,78;32;0,35;2,24;7;0,4;N
brand;2,48;1,02;64;5,78;1;64;5,64;1,12;64;5,19;1,56;32;1,65;44,39;5;0;N
branden;2,98;1,03;64;5,5;1,02;64;5,25;1,28;64;5,61;1,87;32;1,36;22,66;7;0;V
bravo;5,56;0,91;64;4,55;1,21;64;4,7;1,08;64;5,1;2,17;32;1,29;19,32;5;0;R
breed;4,05;0,72;64;3,55;1,11;64;4,72;0,98;64;5,87;1,96;32;0,79;6,22;5;0;A
breekbaar;2,89;0,57;64;3,31;1,25;64;2,5;1,26;64;6,94;2,35;32;0,29;1,94;9;0;A
breien;4,16;0,82;64;3,3;1,44;64;3,2;1,2;64;6,06;1,26;32;0,29;1,97;6;0;V
brein;4,91;0,94;64;5,19;1,18;64;5,23;1,21;64;8,26;2,19;32;1,22;16,62;5;0;N
breken;2,84;0,72;64;5,05;0,93;64;4,05;1,39;64;5;1,71;32;1,64;44;6;0;V
brengen;4,33;0,56;64;4,61;0,81;64;3,67;1,05;64;5,29;2,82;32;2,4;249,76;7;0;V
bres;3,96;0,87;57;4,09;1,19;54;3,98;1,27;49;9,92;2,76;24;-0,16;0,69;4;17,5;N
breuk;2,72;0,83;64;4,41;1,11;64;4,17;1,39;64;7,32;2,01;32;0,74;5,47;5;0;N
brief;4,52;0,71;64;3,22;1,13;64;3,77;0,85;64;4,84;1,37;32;1,87;73,84;5;0;N
bries;4,47;0,89;64;3,97;1,23;64;3,66;1,32;64;7,87;2,52;31;0,12;1,33;5;0,4;N
brij;3,23;0,73;62;3,31;1,33;62;3,44;1,03;61;7,83;2,45;30;-0,28;0,53;4;3,6;N
bril;3,95;0,63;64;3,02;1,05;64;3,61;1,19;64;4,87;1,38;32;1,39;24,49;4;0;N
briljant;6,25;0,73;64;4,89;1,31;64;5,31;1,23;64;8,26;2,38;32;1,33;21,2;8;0;A
brits;4,39;0,8;56;3,4;1,05;52;3,76;1;55;9,15;2,62;27;0,78;6,06;5;15,2;N
broche;4,4;0,77;63;2,95;1,19;60;3,64;1,05;61;8,55;2,61;30;0,22;1,67;6;4;N
broeden;4,61;0,9;64;3,88;1,29;64;3,81;1,31;64;6,39;1,87;32;-0,02;0,96;7;0;V
broeder;5,02;1,08;64;3,61;1,05;64;4,66;1,07;64;6,74;2,32;32;1,56;35,9;7;0;N
broederschap;5,58;0,89;64;4,14;1,22;64;5,22;1,06;64;9,45;2,38;32;0,74;5,44;12;0;N
broek;4,36;0,65;64;3,17;1,11;64;3,94;0,91;64;3,77;1,86;32;1,83;67,28;5;0;N
broer;5,31;1,11;64;4,02;0,97;64;4,39;1,03;64;3,55;1,29;32;2,39;245,62;5;0;N
brok;3,34;0,67;64;3,42;1,19;64;4,08;1,09;64;6,39;2,59;32;0,22;1,65;4;0;N
bron;4,7;0,79;64;3,66;1,26;64;4,19;0,95;63;7,06;2,52;32;1,48;29,93;4;0,4;N
brons;4,44;0,83;64;3,33;1,25;64;4,19;1,02;64;7,23;2,23;32;0,13;1,35;5;0;N
brood;4,75;0,91;64;3,41;1,26;64;3,86;0,96;64;3,94;1,5;32;1,53;33,59;5;0;N
broos;3,09;0,81;64;2,84;0,93;62;2,33;1,23;61;10,1;2,66;32;-0,05;0,89;5;2,2;A
brug;4,39;0,66;64;3,34;1,24;64;4,55;1,25;64;5,19;1,66;32;1,64;44,07;4;0;N
bruid;5,72;1,02;64;4,84;1,26;64;4,23;1,12;64;6,55;1,71;32;1,32;21,13;5;0;N
bruidegom;5,63;1,09;64;4,7;1,15;64;4,34;1,07;64;7,35;2,07;32;0,79;6,17;9;0;N
bruidspaar;5,88;1,12;64;4,68;1,23;63;4,53;1,19;64;7,52;2,36;32;-0,03;0,94;10;0,4;N
bruidsschat;4,63;1,37;64;3,95;1,39;64;4,3;1,32;63;9,9;2,89;31;0,18;1,51;11;0,4;N
bruiloft;5,94;1,11;64;5,44;1,07;64;4,48;1,07;64;6,52;1,67;32;1,56;36,38;8;0;N
bruin;4,27;0,95;64;3,28;1,06;64;3,88;0,88;64;4,29;1,72;32;1,14;13,68;5;0;A
bruinen;5,09;0,9;64;3,28;1,5;64;3,98;0,96;63;7,71;2,67;32;-0,46;0,34;7;0,4;V
brullen;2,77;0,94;64;5,89;0,98;64;5,27;1,09;64;6,48;2,22;32;0,14;1,37;7;0;V
brutaal;2,52;0,98;64;5,44;0,84;63;5,22;1,08;64;6,35;2,04;32;1,04;11,07;7;0,4;A
bruto;4,08;0,72;64;3,51;1,2;63;4,24;0,96;63;10,42;2,92;32;-0,24;0,57;5;0,9;N
bruusk;2,89;0,76;56;5,27;1,17;56;5,02;1,18;53;10,14;2,52;29;-0,64;0,23;6;13;A
bruut;2,33;0,71;64;5,34;0,93;64;5,19;1,28;64;8,03;2,81;32;0,52;3,29;5;0;A
budget;4,23;1,03;64;3,73;1,25;64;4,11;0,94;64;9,03;2,88;32;0,81;6,47;6;0;N
buffel;4,05;0,72;64;4,44;1,34;63;5,05;1,18;63;7,32;2,07;32;0,05;1,12;6;0,9;N
buffer;4,48;0,71;64;3,44;1,14;64;4,23;1,16;64;10,26;3,53;32;-0,05;0,89;6;0;N
bui;3,2;0,88;64;4,61;1,15;64;4,19;1,08;64;6,1;2,37;32;0,8;6,33;3;0;N
buidel;4,38;0,63;64;3,25;1,13;64;3,83;0,85;63;8,13;2,85;32;-0,14;0,73;6;0,4;N
buigen;3,56;0,81;64;4,22;1,09;64;2,81;1,22;64;5,97;1,96;32;0,97;9,24;6;0;V
buigzaam;4,41;0,97;64;3,56;1,05;64;3,25;1,18;64;8,26;2,71;32;-0,69;0,21;8;0;A
buik;4,05;0,93;64;3,67;1,17;64;3,75;0,84;64;3,48;1,23;32;1,42;26,09;4;0;N
buikgriep;1,94;0,75;64;4,09;1,49;64;3,78;1,66;64;7,61;2,68;32;-0,64;0,23;9;0;N
buikpijn;2,22;0,72;64;4,48;1,37;64;3,73;1,39;64;5;2;32;0,47;2,95;8;0;N
buis;3,58;0,97;64;3,41;1,18;64;3,89;1,11;64;6,16;1,88;32;0,78;6,08;4;0;N
buit;4,52;0,99;64;4,06;1,41;64;4,86;1,03;63;7,48;2,5;32;1,02;10,4;4;0,4;N
buiten;4,83;0,98;64;4,22;1,27;64;4,25;0,84;64;4,68;1,8;32;2,56;363,58;6;0;A
buizen;3,2;0,99;64;3,5;1,35;64;3,69;1,33;64;7;2,28;32;0,46;2,86;6;0;V
bukken;3,8;0,54;64;4,45;0,96;64;3,08;1;64;5,87;2,2;32;1,03;10,73;6;0;V
buldozer;3,28;0,74;64;5,42;1,21;64;5,69;1,14;64;6,94;1,82;32;-1,34;0,05;8;0;N
bult;3,09;0,66;64;3,41;1,12;64;3,84;1,14;64;5,19;1,62;32;0,53;3,41;4;0;N
bunker;3,02;1;64;3,55;1,51;64;5,25;1,34;63;7,84;2,57;32;0,71;5,1;6;0,4;N
burcht;4,33;0,95;63;3,59;1,52;63;5,14;1,24;63;7,73;2,63;31;-0,08;0,82;6;1,8;N
burger;4,55;0,85;64;3,83;1,08;64;3,98;1,05;64;7,1;2,01;32;1,28;19,19;6;0;N
burgerlijk;3,63;0,92;64;3,38;0,95;64;3,56;1,21;64;10,35;2,71;32;0,2;1,6;10;0;A
bus;4,03;0,71;64;4,02;1,23;64;4,22;1,12;64;4,58;1,39;32;1,81;64,83;3;0;N
buskruit;2,91;0,85;64;5,38;1,24;64;5,48;1;63;8,87;2,38;32;0,29;1,97;8;0,4;N
buste;4,56;0,84;62;3,72;1,29;58;4,17;1,03;53;10,14;3,1;28;-0,32;0,48;5;9,9;N
butler;4,27;0,86;64;4,23;1,27;64;2,83;1,35;64;8,19;2,2;32;0,83;6,75;6;0;N
buur;4,6;0,77;63;3,7;0,9;64;4;0,94;64;5,42;1,8;32;0,49;3,06;4;0,4;N
buurt;4,33;0,54;64;3,8;1,18;64;4,08;0,82;64;5,71;1,62;32;2,24;174,96;5;0;N
cacao;5,08;0,88;64;3,33;1,32;64;4,09;0,95;64;8,03;1,78;32;-0,21;0,62;5;0;N
